Código de reporte / ticket,Fecha de reporte,Módulo,Plataforma,Version,Sistema operativo,Dispositivo utilizado,Versión de navegador / app,Tipo de incidencia,Prioridad,Título,Descripción,Pasos para reproducir,Sugerencia,Evidencia,Reporter,Estatus de resolución - Desarrollador,Desarrollador que coloca el estatus,Fecha de resolucion,Version de la solucion,Estatus de resolución - Tester,Tester que coloca el estatus,Fecha de revision
EDEN-272,6/12/2022,Eden,Mobile,1.0.3,Android 11,,N/A,Error,Alta,Error al momento de crear un eden con todos sus campos al maximo,"Al momento de crear un eden con el maximo de caracteres que permiten los campos, se distorsiona la informacion en la tarjeta de presentacion del eden ","1.Ingresar usuario y contraseña.
2.Ubicar la opcion de eden.
3.Crear un eden.",,EVIDENCIA 272,Victor Moreno,Corregido,Cesar G,,,SOLUCIONADO,Victor Moreno,
EDEN-273,6/12/2022,Arcas,Mobile,1.0.3,Android 11,,N/A,Error,Alta,"Error al momento de crear un arca , debido a los planes","Al  momento que el usuario cancela el plan y va a la opcion de arcas , la misma no actualiza la infromacion y no le permite continuar.","1.Ingresar usuario y contraseña.
2.Ubicar la opcion de arcas.
3.Pagar un plan.
4.Cargar un arca.",,EVIDENCIA 273,Victor Moreno,Corregido,Carlos S,,,SOLUCIONADO,Victor Moreno,
EDEN-274,6/12/2022,Arcas,Mobile,1.0.3,Android 11,,N/A,Error,Alta,Error al momento de eleminar un arca y no llega notificacion,"Al momento que el usuario borra un arca , no llega la notificacion de dicha accion.","1.Ingresar usuario y contraseña.
2.Ubicar la opcion de arcas.
3.Pagar un plan.
4.Cargar un arca.
5.Eliminar dicha arca.
6.Validar la notificacion.",,EVIDENCIA 274,Victor Moreno,"No se estandarizó los flujos con push notifications en la app por parte de productos, se tiene implementada para el momento notificaciones de arcas de: nuevas arcas (libres y guiadas) y verificacion de acta de defuncion de un arca",Omar E,,,SOLUCIONADO,Victor Moreno,
EDEN-275,7/12/2022,Recuperacion de cuenta,Mobile,1.0.3,Android 11,,N/A,Error,Alta,Error en el flujo de restablecer constraseña,El error ocurre cuando se intenta restablecer contraseña y el flujo que aparece no es el mismo de cuando el usuario crea su contraseña en el inicio de sesion,"1.Ingresar a la app.
2.Ubicar la opcion de restablecer contraseña.
3.Colocar el codigo de confirmacion.
4.Colocar la nueva contraseña.",,EVIDENCIA 275,Victor Moreno,Corregido,Cesar G,,,SOLUCIONADO,Victor Moreno,
EDEN-276,8/12/2022,Editar perfil,Mobile,1.0.3,IOS 15,,N/A,Error,Alta,"Error al editar frase en sesion mi perfil, no aparece boton para guardar","Al intentar cambiar la frase en el perfil de Eden se puede notar que se muestra un boton de save, pero al desplegar el teclado del sistema este boton desaparece y no hay manera de guardar la informacion editada.","1.Ingresar a la app.
2.Ingresar en profile
3.Presionar edit en ''share a phrase''
4.Editar la frase y buscar el boton save",,EVIDENCIA 276,Jezhiel Torres,Corregido,Cesar G,,,Corregido,Victor Moreno,
EDEN-277,8/12/2022,Editar perfil,Mobile,1.0.3,IOS 15,,N/A,Error,Alta,"Error al agregar a alguien a los circulos, el boton ''Begin'' no se muestra completo.","Al agregar a alguien a los circulos por primera vez y empezar el recorrido, se muestra un boton ''begin'' que no se adapta a la interfaz de la pantalla quedando invisible para presionar, e impide proseguir con el flujo.","1.Ingresar a la app.
2.Ingresar en profile
3.Presionar edit en el logo del lapiz
4.Verificar el boton en el flujo",,EVIDENCIA 277,Jezhiel Torres,Corregido,Cesar G,,,Corregido,Victor Moreno,
EDEN-278,8/12/2022,Todos los modulos,Mobile,1.0.3,IOS 15,,N/A,Error,Alta,Error de adaptabilidad a las pantallas de dispositivos Iphone,"Los dispositivos IOS tienen de acuerdo a su version de equipo diversos tamaños de pantalla, Be Soul da algunos problemas en la adaptacion ya que en algunos dispositivos no se muestran de manera correcta algunos botones, no hace scroll en algunas sesiones, y en otras hace scroll en textos mas no en la pantallas en flujos propios. ","1.Ingresar a la app.
2.Ingresar en profile ''editar frase''
3.Ingresar en crear Eden
4.Ingresar en mis llaves",,EVIDENCIA 278,Jezhiel Torres,Corregido,Cesar G,,,Corregido,Victor Moreno,
EDEN-279,8/12/2022,Todos los modulos,Mobile,1.0.3,IOS 15,,N/A,Error,Alta,Boton para dar insignia no esta operativo despues de dar una primera insignia,"Al acceder al aplicativo y entrar a algun perfil para dar insignias permite dar la primera insignia y cuando quiero dar otra no me permite la carga de la misma, hay que reiniciar el aplicativo para poder darla .","1.Ingresar a la app.
2.Ingresar en search eden y buscar un perfil
3.Compartir una insignia
4. Volver a el perfil e intentar compartir otra insignia.",,EVIDENCIA 279,Jezhiel Torres,Corregido,,,,Corregido,Victor Moreno,
EDEN-280,8/12/2022,Landing,WEB,1.0.5,Windows 10,,Versión 107.0.5304.107,Error,BAJA,Error en el footer de la landing,"El error de la landing esta en que los espacios , iconos y distribucion de texto no esta igual que en el figma.","1.Ingresar a la web https://mytestament.online/.
2.Validar el Footer.",,EVIDENCIA 280,Victor Moreno,Corregido,,,,Corregido,Victor Moreno,
EDEN-281,8/12/2022,Landing,WEB,1.0.5,Windows 10,,Versión 107.0.5304.107,Error,BAJA,Error en las imagen y tamaños en Join to Be soul,El error esta en que la imagenes de los telefonos no es la misma del figma y el tamañano de los planes no es igual al figma.,"1.Ingresar a la web https://mytestament.online/.
2.Validar la parte de join to besoul.",,EVIDENCIA 281,Victor Moreno,Corregido,,,,Corregido,Victor Moreno,
EDEN-282,8/12/2022,Landing,WEB,1.0.5,Windows 10,,Versión 107.0.5304.107,Error,BAJA,Error en el color de las letras en el modulo de Join to Be soul,"El error ocurre cuando la frase ""treasure memories and secure"" esta sin el color correspondiente, segun el figma","1.Ingresar a la web https://mytestament.online/.
2.Validar la parte de join to besoul.",,EVIDENCIA 282,Victor Moreno,Corregido,,,,Corregido,Victor Moreno,
EDEN-283,8/12/2022,Landing,WEB,1.0.5,Windows 10,,Versión 107.0.5304.107,Error,BAJA,"Error en el body de la web , en las imaganes y el texto","El error esta en que las imagenes no so iguales a las del figma, los textos no esta alineados igual que el figma.","1.Ingresar a la web https://mytestament.online/.
2.Validar la parte de Body.",,EVIDENCIA 283,Victor Moreno,Corregido,,,,Corregido,Victor Moreno,
EDEN-284,8/12/2022,Landing,WEB,1.0.5,Windows 10,,Versión 107.0.5304.107,Error,Alta,Error en la descarga del codigo QR en la web,"El error esta al momento que se descargar el codigo qr de un eden , al verlo esta cortado el nombre de eden y no aparece el avatar del usuario.","1.Ingresar a la web https://mytestament.online/.
2.Ubicar la opcin de Eden.
3.Seleccionar un usuario.
4.Descargar el codigo QR de eden.",,EVIDENCIA 284,Victor Moreno,,,,,,,
EDEN-285,8/12/2022,Creacion de cuenta,Mobile,1.0.3,IOS 15,,N/A,Error,Media,Error al poner correo electronico invalido en inicio de sesion,"Error al poner un correo electronico, se ingreso un correo inexistente con un formato no adecuado y aun asi la aplicacion la acepto.","1.Ingresar a la app.
2.Registrar un usuario nuevo con un correo incorrecto",,EVIDENCIA 285,Jezhiel Torres,"El modulo donde se reporta este error es en crear cuenta. Sin embargoo, no es un error ya que el correo si cuenta con un formato valido.",Cesar G,,,,,
EDEN-286,8/12/2022,Landing,WEB,1.0.5,Windows 10,,Versión 107.0.5304.107,Error,BAJA,Error se encuentra en la ubicacion del boton de dar una insignia,El boton  de dar insigina no se encuentra dentro del marco de un eden al momento de consultarlo.,"1.Ingresar a la web https://mytestament.online/.
2.Ubicar la opcin de Eden.
3.Seleccionar un usuario.
4.Ver el boton de dar insignia.",,EVIDENCIA 286,Victor Moreno,Corregido,,,,Corregido,Victor Moreno,
EDEN-287,8/12/2022,Landing,WEB,1.0.5,Windows 10,,Versión 107.0.5304.107,Error,BAJA,Error en las dimensiones de la portada de un eden ,El error se encuentra en el ancho de la imagen de la portada de un eden no es igual en el figma.,"1.Ingresar a la web https://mytestament.online/.
2.Ubicar la opcin de Eden.
3.Seleccionar un usuario.
4.Ver el tamaño de portada.",,EVIDENCIA 287,Victor Moreno,Corregido,,,,Corregido,Victor Moreno,
EDEN-288,8/12/2022,Landing,WEB,1.0.5,Windows 10,,Versión 107.0.5304.107,Error,BAJA,Error en el flujo de entregar una insignia a un eden,El error ocurre cuando en el flujo de compra de una insignia no aparece el check in cuando se selecciona una insignia,"1.Ingresar a la web https://mytestament.online/.
2.Ubicar la opcin de Eden.
3.Seleccionar un usuario.
4.Dejar una insignia.
5.Validar el error.",,EVIDENCIA 288,Victor Moreno,Corregido,,,,Corregido,Victor Moreno,
EDEN-289,8/12/2022,Landing,WEB,1.0.5,Windows 10,,Versión 107.0.5304.107,Error,Alta,Error al momento de colocar una dedicatoria y no tener limite de caracteres ,El error ocurre cuando no se le informa al usuario el limite de caracteres que soporta los campos de textos y tambien se le debe informar si el campo es obligatorio.,"1.Ingresar a la web https://mytestament.online/.
2.Ubicar la opcin de Eden.
3.Seleccionar un usuario.
4.Dejar una insignia.
5.Colocar un comentario.",,EVIDENCIA 289,Victor Moreno,Corregido,,,,Corregido,Victor Moreno,
EDEN-290,8/12/2022,Todos los modulos,Mobile,1.0.3,IOS 16,,N/A,Error,Media,Error de logos en parte superior del aplicativo que chocan con la iconografia de IOS,"Al acceder en el aplicativo desde la parte de perfil se puede notar que el logo de: Notificaciones, cambio de foto de portada, y boton back choca con la iconografia de IOS, es decir logo de bateria, WIFI, señal telefonica y hora del dispositivo.","1.Ingresar a la app.
",,EVIDENCIA 290,Jezhiel Torres,Corregido,Cesar G,,,Corregido,Jezhiel Torres,
EDEN-291,8/12/2022,Landing,WEB,1.0.5,Windows 10,,Versión 107.0.5304.107,Error,Alta,Error al no poder concluir el pago y hacer la entrega de la insignia,"El error ocurre cuando se esta procesando el pago , el msimo se queda cargando y no continua.","1.Ingresar a la web https://mytestament.online/.
2.Ubicar la opcin de Eden.
3.Seleccionar un usuario.
4.Dejar una insignia.
5.Colocar un comentario.
6.Validar la notificacion.
7.Colocar la informacion de pago.",,EVIDENCIA 291,Victor Moreno,Corregido,,,,Corregido,Victor Moreno,
EDEN-292,14/12/2022,Editar perfil,Mobile,1.0.5,IOS 16.2,,N/A,Error,Alta,Reinicio del aplicativo al aplicar algun cambio de informacion,"Al ingresar en el aplicativo y desde el perfil de usuario querer editar cualquier dato como fecha de nacimiento o frase, al aceptar los cambios el aplicativo se cierra por completo.","
1.Ingresar a la app.
2.Ingresar en profile ''editar frase'' o ''modificar fecha de nacimiento''
3. Aceptar los cambios",,EVIDENCIA 292,Jezhiel Torres,Corregido,Carlos S,,,Corregido,Victor Moreno,
EDEN-293,14/12/2022,Planes,Mobile,1.0.5,IOS 16.2,,N/A,Error,Alta,Pantalla de planes queda en cargando y no sale nada,"Al ingresar en el aplicativo y desde pefil ingresar en la parte de los planes, se nota que indica que esta cargando la pagina pero nunca sale nada.","
1.Ingresar a la app.
2.Ingresar en profile y acceder a la parte de los planes
3. Verificar respuesta",,EVIDENCIA 293,Jezhiel Torres,Corregido,Cesar G,,,Corregido,Victor Moreno,
EDEN-294,19/12/2022,Inicio de sesion,Mobile,1.0.5,Android 11,,N/A,Error,Alta,Error en los tutoriales implementados,"Al momento que el usuario ingresa por primera vez , aparece el tutorial indicandole , que debe cambiar su foto de perfil , portado y editar su perfil , pero no hace mas nada , en arcas ni en eden aparece el tutorial.","1. Tener la app descargada
2.Crear una cuenta
3.Colocar el correo
4.codigo al correo
5.Nombre y apellido
6.contraseña
7.Numero de telefono
8.Codigo de confirmacion.
9.Ingresar en la  APP  y  ver los tutoriales",,EVIDENCIA 294,Victor Moreno,Corregido,Omar E,,,Corregido,Victor Moreno,
EDEN-295,19/12/2022,Eden,Mobile,1.0.5,IOS 16.2,,N/A,Error,Alta,Error en  el campo de nombre al momento de crear un eden,"El error esta cuando el campo de nombre admite comillas , la cual es un caracteres especial.","1.Ingresar a la app
2.Ubicar la opcion de eden 
3.Crear un eden a terceros",,EVIDENCIA 295,Victor Moreno,Corregido,Omar E,,,Corregido,Victor Moreno,
EDEN-296,19/12/2022,Profile,Mobile,1.0.5,IOS 16.2,,N/A,Error,Alta,Error al momento de cambiar el numero de telefono que esta registrado,"Al momento que el usuario desea cambiar el numero de telefono que tiene registrado , al momento que el sistema le solicita la contraseña , la app no reconoce la contraseña que el usuario esta colocando.","    1.Ingresar a la app
    2.Ubicar la opcion de profile
    3.Modificar el numero de telefono",,EVIDENCIA 296,Victor Moreno,Corregido,Omar E,,,Corregido,Victor Moreno,
EDEN-297,19/12/2022,Profile,Mobile,1.0.5,IOS 16.2,,N/A,Error,Alta,Error al momento de cambiar el correo electronico que esta registrado,"Al momento que el usuario desea cambiar el correo que tiene registrado , al momento que el sistema le solicita la contraseña , la app no reconoce la contraseña que el usuario esta colocando.","    1.Ingresar a la app
    2.Ubicar la opcion de profile
    3.Modificar el correo electronico",,EVIDENCIA 297,Victor Moreno,Corregido,Omar E,,,Corregido,Victor Moreno,
EDEN-298,19/12/2022,Creacion de cuenta,Mobile,1.0.5,IOS 16.2,,N/A,Error,Alta,Error en el helper al momento de introducir un dato mal en la creacion de cuenta,"Al momento que el usuario esta colocando sus datos personales en la creacion de cuenta , el helper que indica que solo debe utilizar mayusculas y minusculas esta mal , ya que el error que van a ver en la evidencia es por que se deja un espacion en blanco al final , el helper debe indicar donde esta el error ya que nuestros usuarios van hacer personas de tercera edad.","1. Tener la app descargada
2.Crear una cuenta
3.Colocar el correo
4.codigo al correo
5.Nombre y apellido",,EVIDENCIA 298,Victor Moreno,Corregido,Omar E,,,NO SOLUCIONADO,Victor Moreno,
EDEN-299,19/12/2022,Profile,Mobile,1.0.5,IOS 16.2,,N/A,Error,Alta,Error al no encontrar a varios usuarios para invitar a tu circulo,El error ocurre cuando el usuario desea invitar a varios usuarios ya registrados en las app y los mismos no aparecen.,"1.Ingresar a la app
2.Ubicar la opcion de profile
3.Ir a mi circulo
4.Agregar usuarios ya registrados",,EVIDENCIA 299,Victor Moreno,Corregido,Omar E,,,Corregido,Victor Moreno,
EDEN-300,19/12/2022,Arcas,Mobile,1.0.5,IOS 16.2,,N/A,Error,Baja,Error en el icono de siguiente en el flujo de creacion de arcas,"El error ocurre al inicio de la creacion de la arca , cuando se le esta informado al clliente que va hacer en este apartado, el boton de siguiente choca con el nav bar , por lo cual esta mal.","1.Ingresar a la app
2.Ubicar arcas
3.Crear una arca guiada",,EVIDENCIA 300,Victor Moreno,Corregido - La vista se puede hacer scroll ya que los componentes tienen las dimensiones estipuladas en el figma,Omar E,,,,,
EDEN-301,19/12/2022,Arcas,Mobile,1.0.5,IOS 16.2,,N/A,Error,Alta,Error en el boton de ir a galerias en el flujo de creacion de arcas guiadas memorias,El error ocurre cuando el usuario le da al boton de ir a galeria para comenzar a crear el arca y el boton no tiene ningun efecto o accion.,"1.Ingresar a la app
2.Ubicar arcas
3.Crear una arca guiada
4.Seleccionar el boton de ir a galeria",,EVIDENCIA 301,Victor Moreno,Corregido,Omar E,,,,,
EDEN-302,20/12/2022,Arcas,Mobile,1.0.5,Android 11,,N/A,Error,ALTA,Erro en el flujo de arcas libre al momento de colocar la descripcion de la imagen cargada,"El error ocurre cuando se supera el maximo de caracteres permitidos en el cuadro de texto , lo cual no debe pasar ya que tiene un limite establecido.","1.Tener la app descargada
2.Ingresar con usuario y contraseña
3.Ubicar la opcion de arcas libre.
4.Cargar la imagen y colocar la descripcion.",Nota: Esta incidencia es la eden 102 la cual aun no ha sido solucionada y se vuelve a colocar por que se anexa nueva evidencia en otra version que no es donde presento el error anteriormente.,EVIDENCIA 302,Victor Moreno,Corregido,Omar E,,,SOLUCIONADO,Victor Moreno,
EDEN-303,20/12/2022,Arcas,Mobile,1.0.5,Android 11,,N/A,Error,ALTA,Erro en el flujo de arcas libre al momento de seleccionar los iconos de cargar imagen y Archivo,El errror se encuentra cuando los botones de cargar imagenes y documentos se cortan por el boton de siguiente.,"1.Tener la app descargada
2.Ingresar con usuario y contraseña
3.Ubicar la opcion de arcas libre.
4.Cargar la imagen y colocar la descripcion.",,EVIDENCIA 303,Victor Moreno,Corregido,Omar E,,,SOLUCIONADO,Victor Moreno,
EDEN-304,20/12/2022,Arcas,Mobile,1.0.5,Android 11,,N/A,Error,ALTA,Error en el flujo de arcas libres al momento de cargar imagenes y archivos los cuales no tienen un boton para eliminar esos archivos cargados,El error se encuentra cuando el usuario cargar la informacion pero no tiene ningun boton para poder eliminar una imagen o archivo.,"1.Tener la app descargada
2.Ingresar con usuario y contraseña
3.Ubicar la opcion de arcas libre.
4.Cargar la imagen y colocar la descripcion.",,EVIDENCIA 304,Victor Moreno,Corregido,Carlos S,,,SOLUCIONADO,Victor Moreno,
EDEN-305,20/12/2022,Arcas,Mobile,1.0.5,Android 11,,N/A,Error,ALTA,Error al momento de compartir una llave en flujo de arcas guiadas,El error ocurre al momento de seleccionar la opcion de guardar luego de haber cargado toda la informacion y la app no envia la solicitud,"1.Ingresar a la app
2.Ubicar arcas
3.Crear una arca guiada
4.Colocar toda la informacion 
5.Seleccionar usuario
6.compartir llaves",,EVIDENCIA 305,Victor Moreno,Corregido,Omar E,,,SOLUCIONADO,Victor Moreno,
EDEN-306,20/12/2022,Arcas,Mobile,1.0.5,Android 11,,N/A,Error,Media,Error en los botones en la creacion de arcas guiadas,"El error se encuentra en la dimension y el tamañano de los botones al momento de iniciar arcas guiadas, la misma chocan con el nav bar","1.Ingresar a la app
2.Ubicar arcas
3.Crear una arca guiada",,EVIDENCIA 306,Victor Moreno,Corregido,Omar E,,,SOLUCIONADO,Victor Moreno,
EDEN-307,20/12/2022,Arcas,Mobile,1.0.5,Android 11,,N/A,Error,ALTA,"Error al momenot de iniciar la creacion de una nueva arca , ya que conserva el nombre de la arca anterior",El error ocurre cuando la app no cambia el campo de texto para poder escribir si no que conserva el nombre del arca anterior,"1.Ingresar a la app
2.Ubicar arcas
3.Crear una arca guiada",,EVIDENCIA 307,Victor Moreno,Corregido,Omar E,,,SOLUCIONADO,Victor Moreno,
EDEN-308,20/12/2022,Arcas,Mobile,1.0.5,Android 11,,N/A,Error,ALTA,Error en el flujo de arcas guiada al momento de cargar imagenes y archivos los cuales no tienen un boton para eliminar esos archivos cargados,El error se encuentra cuando el usuario cargar la informacion pero no tiene ningun boton para poder eliminar una imagen o archivo.,"1.Tener la app descargada
2.Ingresar con usuario y contraseña
3.Ubicar la opcion de arcas guiada.
4.Cargar la imagen",,EVIDENCIA 308,Victor Moreno,Corregido,Carlos S,,,SOLUCIONADO,Victor Moreno,
EDEN-309,20/12/2022,Arcas,Mobile,1.0.5,Android 11,,N/A,Error,ALTA,Error al momento de no colocar un usuario al cual se la va a enviar una llave en el flujo de arcas guiada,"El error ocurre cuando al no seleccionar un usuario al cual enviar una llave y darle click al boton de guardar , la no le informa al usuario que le falta ese paso para continuar con el proceso","1.Ingresar a la app
2.Ubicar arcas
3.Crear una arca guiada
4.Colocar toda la informacion 
5.No Seleccionar usuario y darle click al boton de guardar",,EVIDENCIA 309,Victor Moreno,Corregido,Omar E,,,SOLUCIONADO,Victor Moreno,
EDEN-310,20/12/2022,Arcas,Mobile,1.0.5,Android 11,,N/A,Error,ALTA,Error al no desplegar los terminos y condiciones en los flujos tanto de arcas libres como guiada,"El error ocurre cuando el usuario quiere ver que son los terminos y condiciones el cual esta aceptando , el sistema no la muestra solo tilda el boton como si el usuario lo autoriza.","1.Ingresar a la app
2.Ubicar arcas
3.Crear una arca guiada
4.Colocar toda la informacion 
5.Seleccionar usuario 
6.Ver terminos y condiciones",,EVIDENCIA 310,Victor Moreno,Corregido,Omar E,,,SOLUCIONADO,Victor Moreno,
EDEN-311,20/12/2022,Arcas,Mobile,1.0.5,Android 11,,N/A,Error,ALTA,Error al momento de querer aceptar los terminos y condiciones,"Al momento de buscar una lista de usuarios al momento de compartir una llave , la cantidad de usuarios que aparecen no permiten desplegar la lista para abajo o para arriba por lo cual no se puede aceptar y tampoco ver el boton de terminos y condiciones , entonces el boton de Aceptar nunca aparece habilitado.","1.Ingresar a la app
2.Ubicar arcas
3.Crear una arca guiada
4.Colocar toda la informacion 
5.Seleccionar usuario 
6.Ver terminos y condiciones",,EVIDENCIA 311,Victor Moreno,Corregido,Omar E,,,SOLUCIONADO,Victor Moreno,
EDEN-312,20/12/2022,Arcas,Mobile,1.0.5,Android 11,,N/A,Error,ALTA,Error al borrar un usuario al momento de compartir llaves en arcas guiadas Memorias,El error ocurre al momento de eleminar un usuario el cual fue seleccionado para compartir un arca,"1.Ingresar a la app
2.Ubicar arcas
3.Crear una arca guiada
4.Colocar toda la informacion 
5.Seleccionar usuario 
6.Borrar usuario",,EVIDENCIA 312,Victor Moreno,Corregido,Omar E,,,SOLUCIONADO,Victor Moreno,
EDEN-313,20/12/2022,Arcas,Mobile,1.0.5,Android 11,,N/A,Error,ALTA,Error al borrar un usuario al momento de compartir llaves en arcas guiadas Receta,El error ocurre al momento de eleminar un usuario el cual fue seleccionado para compartir un arca,"1.Ingresar a la app
2.Ubicar arcas
3.Crear una arca guiada
4.Colocar toda la informacion 
5.Seleccionar usuario 
6.Borrar usuario",,EVIDENCIA 313,Victor Moreno,Corregido,Omar E,,,SOLUCIONADO,Victor Moreno,
EDEN-314,20/12/2022,Arcas,Mobile,1.0.5,Android 11,,N/A,Error,ALTA,Error al momento de colocar los ingredientes en el flujo de arcas guiada recetas,"El error ocurre al colocar una cantida de ingredientes , los mismo sale del formato en el que esta establecido","1.Ingresar a la app
2.Ubicar arcas
3.Crear una arca guiada en recetas
4.Colocar todos los ingredientes",,EVIDENCIA 314,Victor Moreno,Corregido,Omar E,,,SOLUCIONADO,Victor Moreno,
EDEN-315,20/12/2022,Arcas,Mobile,1.0.5,Android 11,,N/A,Error,ALTA,Error al colocar multiples usuarios para compartir una llave,"Al momento de colocar varios usuarios al momento de compartir  una llave , los mismo tapan el boton de agregar mas usuarios.","1.Ingresar a la app
2.Ubicar arcas
3.Crear una arca guiada en recetas
4.Colocar toda la informacion
5.Seleccionar varios usuario",,EVIDENCIA 315,Victor Moreno,Corregido,Omar E,,,SOLUCIONADO,Victor Moreno,
EDEN-316,20/12/2022,Arcas,Mobile,1.0.5,Android 11,,N/A,Error,ALTA,Error en el campo de numero de telefono de todo el flujo de Credemciales en el modulo de arcas guiadas,El error ocurre cuando se colocan menos de los numeros que debe soporta el campo de telefono segun sea el pais,"1.Ingresar a la app
2.Ubicar arcas
3.Crear una arca guiada en credenciales
4.Colocar toda la informacion",,EVIDENCIA 316,Victor Moreno,Corregido,Omar E,,,SOLUCIONADO,Victor Moreno,
EDEN-317,21/12/2022,Key,Mobile,1.0.5,Android 11,,N/A,Error,ALTA,Error al cargar multiples actas de defuncion,"Al momento de cargar varios archivos en este apartado , el boton de agregar documento se pierde por la cantidad de archivos ya cargados.","1.Tener la app descargada
2.Ingresar con usuario y contraseña
3.Ubicar la opcion de Key.
4.Ubicar el arca a donde vamos a cargar el acta de defuncion.
5.Cargar multiples archivos.",,EVIDENCIA 317,Victor Moreno,Corregido,Omar E,,,SOLUCIONADO,Victor Moreno,
EDEN-318,21/12/2022,Key,Mobile,1.0.5,Android 11,,N/A,Error,ALTA,Error al ver cuantas llaves tienes ,El error ocurre cuando el usuario intenta ver la cantidad de llaves que se le han enviado y el texto sale distorcionado.,"1.Tener la app descargada
2.Ingresar con usuario y contraseña
3.Ubicar la opcion de Key.",,EVIDENCIA 318,Victor Moreno,Corregido,Omar E,,,SOLUCIONADO,Victor Moreno,
EDEN-319,21/12/2022,Key,Mobile,1.0.5,Android 11,,N/A,Error,ALTA,Error al no tener el icono para ver los archivos cargados en el flujo de Key,"Falta el boton de el ojo que se encuentra en  el figma , para poder ver las imagenes ya que sin esto no se le informa al usuario como puede ver el archivo que acaba de subir.","1.Tener la app descargada
2.Ingresar con usuario y contraseña
3.Ubicar la opcion de Key.",,EVIDENCIA 319,Victor Moreno,Corregido,Omar E,,,SOLUCIONADO,Victor Moreno,
EDEN-320,26/12/2022,Eden,Mobile,1.0.7,IOS 16.2,,N/A,Error,ALTA,"Error al buscar eden, no permite hacer scroll en la vista","Al acceder en la parte de buscar Eden, y poner en la barra de busqueda el nombre de alguna persona con Eden, el teclado no desaparece tapando la opcion buscada, y el aplicativo no hace scroll.","1.Tener la app descargada
2.Buscar la opcion Eden y buscar el nombre de algun Eden creado
3.Hacer scroll",,EVIDENCIA 320,Jezhiel Torres,Corregido,Omar E,27/12/22,1.0.7,No esta solucionado,Victor Moreno,
EDEN-321,27/12/2022,Planes,Mobile,1.0.5,Android 11,,N/A,Error,BAJA,Error en el texto de la informacion de los planes que choca con el boton de comenzar la prueba,"La informacion se encuentra muy pegada al boton de comenzar la prueba , por lo cual causa ruido visual.","1.Tener la app descargada
2.Ingresar con usuario y contraseña
3.Ubicar la opcion de Planes.",,EVIDENCIA 321,Victor Moreno,Corregido,Omar E,28/12/22,1.0.7,SOLUCIONADO,Victor Moreno,
EDEN-322,27/12/2022,Arcas,Mobile,1.0.5,Android 11,,N/A,Error,ALTA,Error al momento de abrir una arca y no poder ver a los usuarios a los cuales se le envio las llaves.,El error ocurre al momento de ingresar por la opcion de ver arcas y no poder a los usuarios a los que se le fue enviada esa arca.,"1.Tener la app descargada
2.Ingresar con usuario y contraseña
3.Ubicar la opcion de Arcas y ver una.",,EVIDENCIA 322,Victor Moreno,Corregido,Omar E,27/12/22,1.0.7,SOLUCIONADO,Victor Moreno,
EDEN-323,27/12/2022,Arcas,Mobile,1.0.5,Android 11,,N/A,Error,ALTA,"Error al cargar una foto de portada en una arca , la misma no carga la imagen",Al momento que el usuario anexa una imagen como portada del arca la misma no carga,"1.Tener la app descargada
2.Ingresar con usuario y contraseña
3.Ubicar la opcion de Arcas y cargar una imagen de portada",,EVIDENCIA 323,Victor Moreno,Corregido,Omar E,28/12/22,1.0.7,SOLUCIONADO,Victor Moreno,
EDEN-324,27/12/2022,Arcas,Mobile,1.0.5,Android 11,,N/A,Error,ALTA,Error en el campo de contraseña de arcas guiadas en llave de billetera digital,"El error esta cuando la misma solicita varios parametros como 6 digitos como minimo , mayusculas entre otros , este campo no dependen de nosotros si no de un tercero , apliquen lo mismo que hicieron con los demas campos , de este mismo estilo en lo que es credenciales , ya que ni usuario ni contraseña dependen de nosotros para establecer algo.","1.Tener la app descargada
2.Ingresar con usuario y contraseña
3.Ubicar la opcion de Arcas",,EVIDENCIA 324,Victor Moreno,Corregido,Omar E,27/12/22,1.0.7,SOLUCIONADO,Victor Moreno,
EDEN-325,29/12/2022,Profile,Mobile,1.0.5,Android 11,,N/A,Error,ALTA,Error en la falta de validacion cuandonun numero y correo de telefono ya se encuentra registrado,"Al momento de editar el perfil y colocar correo o numero de telefono para modificar pero el mismo ya se encuentra en la app , el sistema pasa a pedir el codigo como si fuera un numero nuevo lo cual no es asi","1.Tener la app descargada
2.Ingresar con usuario y contraseña
3.Ubicar la opcion de Profile y editar lo antes mencionado",,EVIDENCIA 325,Victor Moreno,Corregido,Carlos S,27/12/22,1.0.7,SOLUCIONADO,Victor Moreno,
EDEN-326,29/12/2022,Profile,Mobile,1.0.5,Android 11,,N/A,Error,ALTA,Error en el codigo OTP ya que en modo oscuro no se ve el codigo al momento de colocarlo,El error ocurre cuando se coloca el codigo que llega para realizar la modificacion de numero  y correo en profile y el mismo no se ve,"1.Tener la app descargada
2.Ingresar con usuario y contraseña
3.Ubicar la opcion de Profile y editar lo antes mencionado",,EVIDENCIA 326,Victor Moreno,Corregido,Carlos S,27/12/22,1.0.7,SOLUCIONADO,Victor Moreno,
